geocode,area_ha,mrnf_biomass,mrnf_carbon,esa_biomass,scanfi_biomass,mrnf_class
"-808431,34+544048,50",5.876593055336297,108.9,53.9,146.56376429199648,58.76122412668291,100-125
"-808894,91+544701,83",5.286982940170293,111.8,55.5,157.7313359528487,58.05663856691252,100-125
"-808128,10+547360,42",8.573678345820605,71.6,35.7,117.52575757575758,61.92348949656655,50-75
"-807036,76+549272,95",7.1224377235770735,137.5,68.1,200.74963556851307,89.50653226990264,>=125
"-807370,79+547586,78",4.573970369544169,100.6,49.8,206.34903518728714,34.27344047528373,100-125
"-806767,12+549454,28",5.949646797106379,129.4,64.0,211.00086918730986,89.22074421330207,>=125
"-808433,65+549117,44",6.752257806008198,107.1,53.2,169.3396081444487,51.84631274530056,100-125
"-808197,58+552720,05",6.922112856554423,81.7,40.4,138.9668049792531,41.61951047542302,75-100
"-808079,27+553039,86",3.4575711219306124,77.0,38.1,150.9047256097561,38.61516740621217,75-100
"-808505,94+552435,07",11.123532439325684,77.5,38.3,115.3312339631444,40.84430312333572,75-100
"-806334,73+552575,78",3.94402372290885,55.5,27.4,103.3170731707317,37.35466195315952,50-75
"-806664,03+548448,94",0.7200989434234915,95.5,47.2,172.85211267605632,67.71200387221685,75-100
"-808027,31+549200,63",8.595171599568127,116.2,57.5,154.3389312977099,67.67996914582658,100-125
"-807124,39+548148,35",12.598876256718794,114.3,56.5,199.16410886024144,57.03344675906715,100-125
"-807359,38+548569,10",6.552363022937466,112.3,55.5,182.92664551942906,91.25027921076419,100-125
"-806815,37+548981,28",7.340910440093072,125.4,62.1,201.35837135837136,94.53544466074737,>=125
"-808413,95+549446,75",4.151368551858231,73.2,36.4,164.11804697156992,60.8870222595548,50-75
"-808099,12+544084,83",1.875202174990725,95.2,47.4,87.30674002751033,77.63385533184191,75-100
"-808349,78+548179,88",7.241213858659252,112.9,56.0,197.2287558264611,94.12255421686746,100-125
"-808165,34+553168,46",0.35425106820728963,107.8,53.6,213.0569105691057,61.99606299212598,100-125
"-808085,98+548579,35",18.089599153267958,122.4,60.5,204.09093508721767,85.99884368555956,100-125
"-808065,34+548135,91",6.88071240526358,118.4,58.6,177.75998492840998,84.55147096055491,100-125
"-808271,79+548486,37",6.924143297394339,130.4,64.5,196.7353603603604,82.63141993957704,>=125
"-808630,72+548705,80",5.148296550340295,102.3,50.9,197.98992443324934,45.70317901443774,100-125
"-808516,03+548631,52",3.608046598728872,77.8,38.7,163.63642857142858,47.28284000773846,75-100
"-808311,35+547516,95",5.013346032290336,84.8,42.2,192.94948453608245,60.6252346193952,75-100
"-808095,93+547611,52",5.6662209997874164,100.5,50.0,199.99176578225067,48.8787113465566,100-125
"-806854,74+551618,01",4.103707228405219,12.5,6.1,77.69624999999999,35.8096129306678,<50
"-808816,37+552241,51",6.941436071793801,88.4,43.7,161.19440298507462,33.041288315858125,75-100
"-805892,47+552175,02",3.06825995873393,40.3,19.4,97.41414141414144,37.68852272727273,<50
"-808995,40+542583,02",1.6406274083908159,64.5,32.0,61.998355263157904,31.00560465617591,50-75
"-808018,14+549495,24",8.545959344657625,96.3,47.9,190.80750605326878,51.885048559536436,75-100
"-807865,28+544061,88",3.0727097608771357,20.7,10.6,67.83149872988994,27.650260830120203,<50
"-807431,35+544723,12",2.6118402012142776,95.2,47.3,172.01090188305253,64.31682242990655,75-100
"-807559,40+547887,40",8.540823663132093,105.6,52.3,178.94866342648848,78.73983673469382,100-125
"-807038,73+548579,77",10.23550594262509,115.2,57.0,178.37818552497447,116.22424139106714,100-125
"-808193,65+547841,55",5.889448667427213,107.4,53.4,193.76726792784865,87.97525016282795,100-125
"-807147,15+551432,22",16.532821222131677,72.3,35.9,150.0576080150282,35.50278422273782,50-75
"-807884,23+546609,68",6.486933153251098,84.6,42.2,138.14828137490005,66.15910800644814,75-100
"-807309,49+549947,27",7.138944508619517,93.9,46.8,131.04222788496543,31.031408753419296,75-100
"-809585,33+548219,66",6.789092737667716,82.6,41.2,188.43448275862067,70.50410846343468,75-100
"-809048,06+548437,84",7.078826385359337,98.1,48.9,202.1250459727841,71.67267089915845,75-100
"-806573,15+551436,91",10.473122442633448,75.2,37.3,155.6039408866995,39.19760479041918,75-100
"-808627,11+547645,18",10.734007805431338,91.3,45.5,182.13322050290134,88.00210977311828,75-100
"-807205,26+551974,85",14.601958178009093,55.2,27.3,96.05627322597772,64.58431447472115,50-75
"-808520,29+546604,39",3.6114189883695644,91.3,45.5,166.42918763479514,86.82828185328185,75-100
"-807867,98+547174,53",3.392057100917212,96.7,48.2,198.2971734148205,88.49450549450549,75-100
"-808899,62+547184,46",2.179205052349018,106.9,53.3,205.9785969084423,42.63717805151176,100-125
"-808607,07+547355,68",6.471154755461453,102.4,51.1,197.81644054269753,92.34428879310342,100-125
"-808278,82+552138,28",1.8290529021504662,90.5,45.0,90.83451202263086,36.1221607176942,75-100
"-806239,17+549764,33",0.02474199775757403,113.8,56.0,213.0,103.0,100-125
"-808680,15+549466,43",6.868120921873758,111.0,54.9,165.38865784499055,65.49578808484728,100-125
"-808118,35+551800,57",6.515977825698974,96.7,48.0,101.15059760956177,50.21724692019281,75-100
"-807558,83+551623,65",5.768592529405632,109.7,54.4,194.11291779584462,45.9532699024449,100-125
"-806212,60+551248,92",1.6857698240673977,98.0,48.6,150.6635802469136,36.745390511705004,75-100
"-808524,81+552109,28",13.585028061628194,43.2,21.0,112.18332697443724,29.806969821391906,<50
